Three white soldier,NjVmNzkzN2UtMDk0MS00YzUwLThkYjctMTU5NTRkZDUyMTkx,Candle Patterns,,9,,,9
Three black crows,MmI3NWZjNjEtM2U4YS00YjJhLTg5ZWEtMTI5ZGM2ODMxNmJk,Candle Patterns,,9,,,9
Bearish Marubozu,NzI2OGRjNDktNjFhZS00OWFhLWFjNzEtZjA0ZmNkMjI4NzE4,Candle Patterns,,9,,,9
Bullish Marubozu,OTZlOTY2NjgtZDY1MS00NDhjLTg1YjctZmYwNjQ2OGU3Mzdk,Candle Patterns,,9,,,9
Double top without dip,ZjQyNzM2YzktYjAxOS00MTgxLThiZTItOGYxMTBiNmFhYTQ4,Candle Patterns,,9,,,9
Double bottom without dip,OGE2MmE1ZjItM2UwZC00MTNlLWI4NDEtODYxYmQzMWVmMzc3,Candle Patterns,,9,,,9
,,,,,,,
,,,,,,,
Rectangle Pattern,N2IzMThmNzMtOTU0YS00ZGQ1LTkwMTUtYzUzOTc1ZjYzMGNh,Webinar Scanners,,10,,,10
ADX Consolidation RSI Cross,M2U2YWUzZmMtNGRmYS00ZTczLTgwZDItODE5NjI1YjRjNTAx,Webinar Scanners,,10,,,10
Range Bound Bearish,MGUyYWI5NzgtNDQ2ZS00NDBlLTgzZDUtMzMzYTMzN2EzMDIx,Webinar Scanners,,10,,,10
Triangle Pattern,ODJmMjc1MjItY2MzOS00MjgxLWE2NDMtNDYyNGNlMzJmOTAz,Webinar Scanners,,10,,,10
Pivot Support Bullish,MjIwZGMwNzQtZmRlMi00YmI3LWE5YmEtMzNjNzgyNDhmZTlm,Webinar Scanners,,10,,,10
Volume and trend confirmation,OTBkNDViMzgtNDg2NS00ZmNkLThlOGQtMDliZmIyMGJkMjNi,Webinar Scanners,,10,,,10
,,,,,,,
Descending Triangle,MTQwMDQxMjYtOWYyMS00YjJlLWJhMWEtZjBmYTQ0ZjI5YjVm,Candle Patterns,,9,,,9
Ascending Triangle,NTE0ZGZmNmMtZjE0OS00ZDdhLWJhYzUtMWZmNTI3OTI0OTIw,Candle Patterns,,9,,,9
Tripple bottom,MzU5NDMyZTktZGIxYS00ZjQ5LTlmNzQtOTMxNjE3MjgzZmM1,Candle Patterns,,9,,,9
Double bottom,ZDM1MmZlYWMtZDg5YS00YjkzLWJlM2MtZDNlOWU5OWMzOWRi,Candle Patterns,,9,,,9
Piercing Pattern,MDgxZTdjOTktNDE0Zi00Y2RlLWI1ZWEtNjBkMDA2MjMwM2Yw,Candle Patterns,,9,,,9
Dark Cloud Cover,Yjg3YzEzMTItOWM3Mi00ODdkLWI2MzUtNWVmODBiMTczYzJm,Candle Patterns,,9,,,9
Rounding Bottom,OTVlNzVmNmEtYmM4YS00ODIyLWFiZjItMDNjMDQyM2M1NzM1,Candle Patterns,,9,,,9
Morning Star,Zjc1MTkwZmMtMTY1NC00YjAyLThmMmUtODEyMmQ5YTg5ZTk0,Candle Patterns,,9,,,9
Evening Star,NmEyMTc2ODEtYjRiYy00ZjhlLWI1YjItNTFhMjVmMGRkMmQx,Candle Patterns,,9,,,9
Tripple Top,YWFmNjExNDUtMWZkZC00YmU1LWE3OGEtOTA4OWFlOGUxZGZj,Candle Patterns,,9,,,9
